country_code,country,health_spending_usd,health_spending_gdp,cancer_survival,dtp3
MNG,Mongolia,197.6,4.49,78.6,98.0
MOZ,Mozambique,41.02,7.9,38.16,85.0
MRT,Mauritania,54.63,3.09,59.52,80.0
MUS,Mauritius,639.2,5.7,84.49,96.0
MWI,Malawi,36.92,6.37,41.58,95.0
MYS,Malaysia,419.3,3.84,71.71,98.0
NAM,Namibia,419.1,8.86,53.54,87.0
NER,Niger,31.89,5.67,39.59,81.0
NGA,Nigeria,67.63,2.99,27.7,66.0
NIC,Nicaragua,166.5,8.5,79.2,99.0
NIU,Niue,1232.0,7.24,54.7,99.0
NLD,Netherlands (Kingdom of the),5341.0,9.94,88.78,94.0
NOR,Norway,8007.0,10.44,91.02,97.0
NPL,Nepal,53.61,4.45,61.6,93.0
NRU,Naoero,1214.0,11.56,42.21,96.0
NZL,New Zealand,3680.0,8.62,89.11,92.0
OMN,Oman,730.1,3.81,73.59,99.0
PAK,Pakistan,36.01,2.85,59.02,84.0
PAN,Panama,1339.0,8.14,86.39,88.0
PER,Peru,368.0,5.13,85.8,88.0
PHL,Philippines,141.7,4.17,69.49,84.0
PLW,Palau,1929.0,12.17,53.07,97.0
PNG,Papua New Guinea,59.9,2.33,63.02,35.0
POL,Poland,1014.0,6.39,79.31,95.0
PRK,Democratic People's Republic of Korea,,,66.94,97.0
PRT,Portugal,2210.0,9.51,90.06,99.0
PRY,Paraguay,416.8,7.16,79.43,86.0
PSE,"occupied Palestinian territory, including east Jerusalem",317.5,9.19,,99.0
QAT,Qatar,2008.0,3.18,82.69,98.0
ROU,Romania,738.6,5.7,79.7,88.0
RUS,Russian Federation,650.5,5.65,71.78,97.0
RWA,Rwanda,39.81,4.91,48.4,98.0
SAU,Saudi Arabia,1505.0,5.47,69.96,96.0
SDN,Sudan,31.79,4.6,49.72,93.0
SEN,Senegal,64.34,4.5,52.63,91.0
SGP,Singapore,2924.0,4.41,83.5,97.0
SLB,Solomon Islands,98.67,4.44,49.41,94.0
SLE,Sierra Leone,48.14,5.71,33.75,95.0
SLV,El Salvador,380.5,8.81,81.27,96.0
SMR,San Marino,3801.0,8.15,67.1,88.0
SOM,Somalia,12.99,2.41,29.89,57.0
SRB,Serbia,641.0,8.29,79.78,97.0
SSD,South Sudan,35.18,9.07,38.56,61.0
STP,Sao Tome and Principe,106.9,5.48,39.61,95.0
SUR,Suriname,588.8,8.38,84.01,77.0
SVK,Slovakia,1342.0,6.91,77.04,97.0
SVN,Slovenia,2219.0,8.57,86.3,95.0
SWE,Sweden,5688.0,10.93,92.52,98.0
SWZ,Eswatini,320.1,8.4,30.58,90.0
SYC,Seychelles,675.5,4.25,56.93,99.0
SYR,Syrian Arab Republic,55.22,3.97,61.36,67.0
TCD,Chad,30.24,3.38,32.06,53.0
TGO,Togo,54.26,5.91,42.29,88.0
THA,Thailand,288.3,3.79,77.55,97.0
TJK,Tajikistan,60.52,6.95,63.29,88.0
TKM,Turkmenistan,432.8,5.55,73.4,99.0
TLS,Timor-Leste,78.01,4.99,48.41,83.0
